,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
45,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0483.JPG,,,authS,2013-04-30T10:19:05Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0482.JPG,55.7473333333333,37.5366666666667,220.4343434,0.990833333333333,True
46,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0871.JPG,,,authS,2013-07-12T06:30:14Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0874.JPG,42.7031666666667,27.794,31.77661169,11.0033333333333,True
47,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0443.JPG,,,authS,2013-04-19T18:14:47Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0441.JPG,55.9135,37.5541666666667,,0.315277777777778,True
48,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0127.JPG,,,authS,2013-02-19T16:32:35Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0129.JPG,55.9165,37.7798333333333,,72.8966666666667,True
49,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0867.JPG,,,authS,2013-07-12T06:20:26Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0874.JPG,42.7031666666667,27.794,31.77661169,11.1666666666667,True
50,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0442.JPG,,,authS,2013-04-19T18:13:39Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0441.JPG,55.9135,37.5541666666667,,0.296388888888889,True
51,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0708.JPG,,,authS,2013-06-30T14:54:01Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0715.JPG,42.704,27.7933333333333,34.43859649,40.5194444444444,True
52,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0801.JPG,,,authS,2013-07-09T16:50:42Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0796.JPG,42.7033333333333,27.7921666666667,23.27008149,0.306111111111111,True
53,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0961.JPG,,,authS,2015-04-05T13:56:31Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0948.JPG,42.6928333333333,27.7973333333333,5.741088915,0.0,True
54,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0963.JPG,,,authS,2015-04-05T13:56:31Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0948.JPG,42.6928333333333,27.7973333333333,5.741088915,0.0,True
55,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0585.JPG,,,authS,2013-06-11T13:21:35Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0582.JPG,55.9136666666667,37.5543333333333,187.9441341,17.8541666666667,True
56,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0368.JPG,,,authS,2015-07-24T08:57:26Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0451.JPG,55.9135,37.5543333333333,192.9681818,0.0,True
57,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0584.JPG,,,authS,2013-06-11T13:20:22Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0582.JPG,55.9136666666667,37.5543333333333,187.9441341,17.8338888888889,True
58,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0962.JPG,,,authS,2015-04-05T13:56:31Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0948.JPG,42.6928333333333,27.7973333333333,5.741088915,0.0,True
59,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0543.JPG,,,authS,2013-05-18T18:58:43Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0542.JPG,55.9161666666667,37.5406666666667,190.0147059,0.583888888888889,True
60,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0557.JPG,,,authS,2013-05-27T07:56:43Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0556.JPG,55.9086666666667,37.5386666666667,189.7492958,16.6425,True
61,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0965.JPG,,,authS,2015-04-05T13:56:32Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0948.JPG,42.6928333333333,27.7973333333333,5.741088915,0.0002777777777777,True
62,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0583.JPG,,,authS,2013-06-11T13:18:04Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0582.JPG,55.9136666666667,37.5543333333333,187.9441341,17.7955555555556,True
63,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0421.JPG,,,authS,2013-04-14T11:44:39Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0419.JPG,55.9136666666667,37.5541666666667,,3.68972222222222,True
64,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0964.JPG,,,authS,2015-04-05T13:56:32Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0948.JPG,42.6928333333333,27.7973333333333,5.741088915,0.0002777777777777,True
65,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0981.PNG,,,authS,2013-07-20T04:56:30Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0982.JPG,42.5301666666667,27.456,26.23712183,4.92722222222222,True
66,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0366.PNG,,,authS,2013-04-02T16:23:38Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0365.JPG,56.5438333333333,37.5713333333333,,7.54083333333333,True
67,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0868.PNG,,,authS,2013-07-12T06:23:44Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0874.JPG,42.7031666666667,27.794,31.77661169,11.1116666666667,True
68,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0673.PNG,,,authS,2013-06-21T12:35:23Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0672.JPG,55.7463333333333,37.54,158.9002433,2.39444444444444,True
69,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0288.PNG,,,authS,2013-03-29T05:41:33Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0289.JPG,55.9133333333333,37.5541666666667,,51.4233333333333,True
70,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0273.PNG,,,authS,2013-03-11T19:09:05Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0274.JPG,59.3313333333333,18.0213333333333,29.7771987,0.92,True
71,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0138.PNG,,,authS,2013-02-25T16:10:35Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0137.JPG,55.9135,37.5541666666667,,27.8972222222222,True
72,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0272.PNG,,,authS,2013-03-11T19:08:58Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0274.JPG,59.3313333333333,18.0213333333333,29.7771987,0.921944444444444,True
73,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0271.PNG,,,authS,2013-03-11T19:08:43Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0274.JPG,59.3313333333333,18.0213333333333,29.7771987,0.926111111111111,True
74,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0481.PNG,,,authS,2013-04-30T04:09:00Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0479.JPG,55.7485,37.5398333333333,157.81875,0.245555555555556,True
75,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0960.PNG,,,authS,2013-07-19T08:09:46Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0966.JPG,42.7045,27.7911666666667,35.10065646,10.4863888888889,True
76,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0959.PNG,,,authS,2013-07-19T08:08:54Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0966.JPG,42.7045,27.7911666666667,35.10065646,10.5008333333333,True
77,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0958.PNG,,,authS,2013-07-19T08:07:55Z,,/Users/sergey/Pictures/iPhone Sergey/tmp/img0/IMG_0966.JPG,42.7045,27.7911666666667,35.10065646,10.5172222222222,True
