SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6367.JPG,59.4993166666667,17.9280388888889,authS,2022-08-16T21:32:36Z,19.11440849,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6373.JPG,59.4993166666667,17.9280388888889,authS,2022-08-16T21:32:36Z,19.11440849,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6359.JPG,59.4993388888889,17.9279805555556,authS,2022-08-16T21:32:32Z,18.87098218,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6371.JPG,59.4993166666667,17.9280388888889,authS,2022-08-16T21:32:32Z,19.11440849,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6370.JPG,59.4993166666667,17.9280388888889,authS,2022-08-16T21:32:33Z,19.11440849,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6358.JPG,59.4993388888889,17.9279805555556,authS,2022-08-16T21:32:33Z,18.87098218,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6369.JPG,59.4993166666667,17.9280388888889,authS,2022-08-16T21:32:41Z,19.11440849,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6157.JPG,57.6738972222222,15.8440083333333,authS,2022-08-16T21:32:41Z,112.194345,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6156.JPG,57.6738972222222,15.8440083333333,authS,2022-08-16T21:32:43Z,112.194345,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6368.JPG,59.4993166666667,17.9280388888889,authS,2022-08-16T21:32:42Z,19.11440849,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6154.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:38Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6155.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:39Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6151.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:50Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6150.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:50Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6420.JPG,NA,NA,authS,2022-08-16T21:32:50Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6151.JPG,57.6737972222222,15.8441472222222,112.1821948,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6146.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:46Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6152.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:45Z,112.1821948,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/116APPLE/IMG_6153.JPG,57.6737972222222,15.8441472222222,authS,2022-08-16T21:32:48Z,112.1821948,NA,NA,NA,NA,NA
