,Unnamed: 0,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
27,27,/Users/sergey/Pictures/exports/julshow2021/DSC09864.jpg,,,authS,2021-12-20T02:07:34Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.523611111111,
28,28,/Users/sergey/Pictures/exports/julshow2021/DSC09323.jpg,,,authS,2021-12-20T02:07:02Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5325,
29,29,/Users/sergey/Pictures/exports/julshow2021/DSC09135.jpg,,,authS,2021-12-20T02:06:23Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.543333333333,
30,30,/Users/sergey/Pictures/exports/julshow2021/DSC09096.jpg,,,authS,2021-12-20T02:06:20Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.544166666667,
31,31,/Users/sergey/Pictures/exports/julshow2021/DSC09243.jpg,,,authS,2021-12-20T02:06:43Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.537777777778,
32,32,/Users/sergey/Pictures/exports/julshow2021/DSC09280.jpg,,,authS,2021-12-20T02:06:53Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.535,
33,33,/Users/sergey/Pictures/exports/julshow2021/DSC09120.jpg,,,authS,2021-12-20T02:06:22Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.543611111111,
34,34,/Users/sergey/Pictures/exports/julshow2021/DSC08941.jpg,,,authS,2021-12-20T02:06:04Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.548611111111,
35,35,/Users/sergey/Pictures/exports/julshow2021/DSC08982.jpg,,,authS,2021-12-20T02:06:08Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5475,
36,36,/Users/sergey/Pictures/exports/julshow2021/DSC08980.jpg,,,authS,2021-12-20T02:06:06Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.548055555556,
37,37,/Users/sergey/Pictures/exports/julshow2021/DSC09334.jpg,,,authS,2021-12-20T02:07:02Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5325,
38,38,/Users/sergey/Pictures/exports/julshow2021/DSC09080.jpg,,,authS,2021-12-20T02:06:17Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.545,
39,39,/Users/sergey/Pictures/exports/julshow2021/DSC09971.jpg,,,authS,2021-12-20T02:07:40Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.521944444444,
40,40,/Users/sergey/Pictures/exports/julshow2021/DSC09583.jpg,,,authS,2021-12-20T02:07:24Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.526388888889,
41,41,/Users/sergey/Pictures/exports/julshow2021/DSC09569.jpg,,,authS,2021-12-20T02:07:23Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.526666666667,
42,42,/Users/sergey/Pictures/exports/julshow2021/DSC09780.jpg,,,authS,2021-12-20T02:07:32Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.524166666667,
43,43,/Users/sergey/Pictures/exports/julshow2021/DSC09538-2.jpg,,,authS,2021-12-20T02:07:20Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5275,
44,44,/Users/sergey/Pictures/exports/julshow2021/DSC09153.jpg,,,authS,2021-12-20T02:06:28Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.541944444444,
45,45,/Users/sergey/Pictures/exports/julshow2021/DSC09621.jpg,,,authS,2021-12-20T02:07:28Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.525277777778,
46,46,/Users/sergey/Pictures/exports/julshow2021/DSC09231.jpg,,,authS,2021-12-20T02:06:40Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.538611111111,
47,47,/Users/sergey/Pictures/exports/julshow2021/DSC09368.jpg,,,authS,2021-12-20T02:07:09Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.530555555556,
48,48,/Users/sergey/Pictures/exports/julshow2021/DSC09547.jpg,,,authS,2021-12-20T02:07:21Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.527222222222,
49,49,/Users/sergey/Pictures/exports/julshow2021/DSC09341.jpg,,,authS,2021-12-20T02:07:05Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.531666666667,
